"Name","BD","Pos","Team","GP","EVG","EVA","EVPTS","EVPTS/G","EVPTS%"
"Mitchell Marner",1997-05-05,"RW","London Knights",18,11,18,29,1.61,66
"Matthew Tkachuk",1997-12-11,"LW","London Knights",18,12,14,26,1.44,65
"Christian  Dvorak",1996-02-02,"C","London Knights",18,9,13,22,1.22,63
"Justin Scott",1995-08-13,"C","Barrie Colts",15,16,2,18,1.2,90
"Kevin  Labanc",1995-12-12,"RW","Barrie Colts",15,2,15,17,1.13,65
"Andrew Mangiapane",1996-04-04,"LW","Barrie Colts",15,5,9,14,0.93,67
"Josh Ho-Sang",1996-01-22,"RW","Niagara IceDogs",17,6,8,14,0.82,54
"Alex DeBrincat",1997-12-18,"RW","Erie Otters",13,6,7,13,1,68
"Pavel Jenys",1996-04-02,"RW","Niagara IceDogs",17,4,9,13,0.76,76
"Dylan Strome",1997-03-07,"C","Erie Otters",13,6,6,12,0.92,57
"Michael Dal Colle",1996-06-20,"LW","Kingston Frontenacs",9,4,8,12,1.33,67
"Mike Amadio",1996-05-13,"C","North Bay Battalion",11,7,4,11,1,61
"Spencer Watson",1996-04-25,"RW","Kingston Frontenacs",9,2,9,11,1.22,65
"Cliff Pu",1998-06-03,"C","London Knights",18,6,4,10,0.56,77
"JJ Piccinich",1996-06-12,"RW","London Knights",18,2,8,10,0.56,83
"Olli Juolevi",1998-05-05,"D","London Knights",18,2,8,10,0.56,71
"Travis  Dermott",1996-12-22,"D","Erie Otters",13,2,8,10,0.77,71
"Boris Katchouk",1998-06-18,"LW","Sault Ste. Marie Greyhounds",12,5,4,9,0.75,90
"Jordan Maletta",1995-04-30,"C","Niagara IceDogs",17,2,7,9,0.53,82
"Ryan MacInnis",1996-02-14,"C","Kitchener Rangers",9,3,6,9,1,69
"Stephen Harper",1995-03-25,"C","Niagara IceDogs",17,4,5,9,0.53,56
"Alexander Nylander",1998-03-02,"LW","Mississauga Steelheads",6,4,4,8,1.33,67
"Jacob  Graves",1995-03-28,"D","London Knights",18,0,8,8,0.44,80
"Mathew Santos",1995-03-16,"RW","North Bay Battalion",11,3,5,8,0.73,73
"Maurizio Colella",1997-03-21,"LW","North Bay Battalion",11,3,5,8,0.73,100
"Rasmus Andersson",1996-10-27,"D","Barrie Colts",15,1,7,8,0.53,53
"Roland McKeown",1996-01-20,"D","Kingston Frontenacs",9,3,5,8,0.89,67
"Taylor Raddysh",1998-02-18,"RW","Erie Otters",12,2,6,8,0.67,80
"Victor Mete",1998-06-07,"D","London Knights",18,4,4,8,0.44,73
"Warren Foegele",1996-04-01,"C","Kingston Frontenacs",9,7,1,8,0.89,80
"Aaron Berisha",1995-03-05,"RW","London Knights",18,4,3,7,0.39,64
"Bobby MacIntyre",1996-09-08,"LW","Sault Ste. Marie Greyhounds",11,5,2,7,0.64,64
"Brandon Robinson",1995-10-13,"LW","Kitchener Rangers",9,5,2,7,0.78,78
"Darby Llewellyn",1996-07-19,"LW","Kitchener Rangers",9,3,4,7,0.78,100
"Hunter Garlent",1995-02-04,"C","Peterborough Petes",7,3,4,7,1,88
"Jake Marchment",1995-05-20,"C","Erie Otters",13,2,5,7,0.54,64
"Nick Betz",1995-07-18,"RW","Erie Otters",11,3,4,7,0.64,100
"Owen MacDonald",1996-05-24,"C","London Knights",18,5,2,7,0.39,100
"Ryan Mantha",1996-06-18,"D","Niagara IceDogs",17,3,4,7,0.41,70
"Adam Mascherin",1998-06-06,"LW","Kitchener Rangers",9,4,2,6,0.67,50
"Aleksandar Mikulovich",1996-07-01,"D","Niagara IceDogs",17,2,4,6,0.35,100
"Artur Tyanulin",1997-01-20,"RW","Ottawa 67's",5,1,5,6,1.2,86
"Brendan  Perlini",1996-04-27,"LW","Niagara IceDogs",14,4,2,6,0.43,67
"Erik Cernak",1997-05-28,"D","Erie Otters",13,0,6,6,0.46,100
"Jeremy Bracco",1997-03-17,"RW","Kitchener Rangers",9,2,4,6,0.67,43
"Jonathan Ang",1998-01-31,"C","Peterborough Petes",7,1,5,6,0.86,67
"Juho Lammikko",1996-01-29,"C","Kingston Frontenacs",9,2,4,6,0.67,86
"Kyle Maksimovich",1998-03-10,"LW","Erie Otters",13,4,2,6,0.46,75
"Michael Webster",1995-05-24,"D","Barrie Colts",14,1,5,6,0.43,75
"Zachary Senyshyn",1997-03-30,"RW","Sault Ste. Marie Greyhounds",12,2,4,6,0.5,67
"Adam Timleck",1998-02-26,"RW","Peterborough Petes",7,1,4,5,0.71,100
"Chandler Yakimowicz",1996-01-26,"RW","London Knights",18,1,4,5,0.28,83
"Connor Hall",1998-02-21,"D","Kitchener Rangers",9,1,4,5,0.56,100
"Daniel Muzito-Bagenda",1996-06-16,"RW","Mississauga Steelheads",7,2,3,5,0.71,50
"Darren Raddysh",1996-02-28,"D","Erie Otters",13,3,2,5,0.38,56
"Kyle Pettit",1996-01-19,"C","Erie Otters",13,4,1,5,0.38,83
"Kyle Wood",1996-05-04,"D","North Bay Battalion",11,1,4,5,0.45,38
"Lawson Crouse",1997-06-23,"LW","Kingston Frontenacs",9,2,3,5,0.56,45
"Michael McLeod",1998-02-03,"C","Mississauga Steelheads",7,3,2,5,0.71,56
"Nathan Todd",1995-12-02,"C","Ottawa 67's",5,2,3,5,1,56
"Patrick Fellows",1997-06-17,"LW","Erie Otters",13,2,3,5,0.38,83
"Robert Thomas",1999-07-02,"C","London Knights",15,1,4,5,0.33,100
"Steven Lorentz",1996-04-13,"C","Peterborough Petes",7,2,3,5,0.71,100
"Travis Barron",1998-08-17,"LW","Ottawa 67's",5,2,3,5,1,83
"Anthony DiFruscia",1995-04-20,"RW","Niagara IceDogs",16,1,3,4,0.25,57
"Anthony Stefano",1996-01-04,"LW","Barrie Colts",15,1,3,4,0.27,67
"Blake Siebenaler",1996-02-27,"D","Niagara IceDogs",17,0,4,4,0.24,67
"Blake Speers",1997-01-02,"RW","Sault Ste. Marie Greyhounds",12,2,2,4,0.33,40
"Connor Bunnaman",1998-04-16,"C","Kitchener Rangers",9,2,2,4,0.44,100
"Dylan Di Perna",1996-04-26,"D","Kitchener Rangers",9,0,4,4,0.44,100
"Dylan Sadowy",1996-04-02,"LW","Barrie Colts",8,1,3,4,0.5,80
"Eric  Cornel",1996-04-11,"RW","Peterborough Petes",7,1,3,4,0.57,80
"Everett Clark",1996-01-22,"C","Mississauga Steelheads",7,1,3,4,0.57,100
"Graham Knott",1997-01-13,"LW","Niagara IceDogs",17,2,2,4,0.24,80
"Greg  Betzold",1995-03-11,"LW","Peterborough Petes",7,3,1,4,0.57,80
"Gustav Bouramman",1997-01-24,"D","Sault Ste. Marie Greyhounds",12,0,4,4,0.33,44
"Jack Kopacka",1998-03-05,"LW","Sault Ste. Marie Greyhounds",12,2,2,4,0.33,100
"Jakob Chychrun",1998-03-31,"D","Sarnia Sting",7,1,3,4,0.57,50
"Jalen Smereck",1997-01-15,"D","Oshawa Generals",5,0,4,4,0.8,80
"Josh Carrick",1996-01-24,"D","Barrie Colts",15,2,2,4,0.27,100
"Josh Maguire",1996-06-30,"LW","Peterborough Petes",7,2,2,4,0.57,100
"Josh Wesley",1996-04-09,"D","Niagara IceDogs",17,2,2,4,0.24,100
"Mac Hollowell",1998-09-26,"D","Sault Ste. Marie Greyhounds",12,1,3,4,0.33,100
"Mason Marchment",1995-06-18,"LW","Mississauga Steelheads",7,2,2,4,0.57,80
"Matt Mistele",1995-10-17,"LW","Sarnia Sting",7,2,2,4,0.57,40
"Pavel Zacha",1997-04-06,"LW","Sarnia Sting",7,2,2,4,0.57,31
"Tim Gettinger",1998-04-14,"LW","Sault Ste. Marie Greyhounds",12,1,3,4,0.33,100
"Vince Dunn",1996-10-29,"D","Niagara IceDogs",12,2,2,4,0.33,33
"Aaron Haydon",1996-01-06,"D","Niagara IceDogs",17,1,2,3,0.18,75
"Anthony Cirelli",1997-07-15,"C","Oshawa Generals",5,1,2,3,0.6,60
"Bradley  Latour",1995-09-13,"LW","Windsor Spitfires",5,2,1,3,0.6,50
"Brady Gilmour",1999-04-18,"C","Saginaw Spirit",4,1,2,3,0.75,100
"Brett McKenzie",1997-03-12,"C","North Bay Battalion",11,1,2,3,0.27,60
"Christopher Paquette",1998-03-27,"C","Niagara IceDogs",15,2,1,3,0.2,75
"Colton White",1997-05-03,"D","Sault Ste. Marie Greyhounds",12,1,2,3,0.25,100
"Connor Brown",1995-07-22,"LW","Saginaw Spirit",4,3,0,3,0.75,75
"Cordell James",1996-06-14,"C","Barrie Colts",15,1,2,3,0.2,75
"Daniel  Bernhardt",1996-04-11,"LW","London Knights",14,2,1,3,0.21,100
"David Miller",1996-09-25,"C","Kitchener Rangers",9,2,1,3,0.33,75
"Ethan Szypula",1997-01-28,"C","Owen Sound Attack",6,0,3,3,0.5,43
"Hayden Hodgson",1996-03-02,"RW","Saginaw Spirit",4,0,3,3,0.75,100
"Hayden Verbeek",1997-10-17,"C","Sault Ste. Marie Greyhounds",9,1,2,3,0.33,75
"Ivan Lodnia",1999-08-31,"C","Erie Otters",13,0,3,3,0.23,75
"Jared Steege",1996-01-07,"LW","Kingston Frontenacs",8,2,1,3,0.38,100
"Jordan Kyrou",1998-05-05,"RW","Sarnia Sting",7,1,2,3,0.43,43
"Jordan Sambrook",1998-04-11,"D","Erie Otters",13,0,3,3,0.23,75
"Josh Burnside",1995-02-11,"LW","Mississauga Steelheads",7,2,1,3,0.43,75
"Julius  Nattinen",1997-01-14,"C","Barrie Colts",12,1,2,3,0.25,38
"Kirill Maksimov",1999-06-01,"RW","Saginaw Spirit",4,1,2,3,0.75,100
"Kyle Langdon",1998-08-26,"C","Niagara IceDogs",16,2,1,3,0.19,100
"Logan DeNoble",1997-10-15,"C","Peterborough Petes",7,2,1,3,0.43,75
"Mason Kohn",1997-05-03,"C","Kitchener Rangers",9,0,3,3,0.33,75
"Medric Mercier",1996-10-17,"D","Sault Ste. Marie Greyhounds",12,0,3,3,0.25,100
"Mitchell Byrne",1998-03-04,"D","Erie Otters",13,1,2,3,0.23,100
"Morgan Frost",1999-05-14,"C","Sault Ste. Marie Greyhounds",12,1,2,3,0.25,100
"Nathan Billitier",1996-05-20,"D","Kingston Frontenacs",9,0,3,3,0.33,100
"Nikita Korostelev",1997-02-08,"RW","Sarnia Sting",7,0,3,3,0.43,60
"Stepan Falkovsky",1996-12-18,"D","Ottawa 67's",5,1,2,3,0.6,100
"Steve Harland",1996-05-10,"RW","North Bay Battalion",11,1,2,3,0.27,60
"Troy Lajeunesse",1997-05-20,"C","Sarnia Sting",7,2,1,3,0.43,75
"Tyler Boston",1997-06-24,"C","Niagara IceDogs",17,0,3,3,0.18,100
