"Name","BD","Pos","Team","GP","EVG","EVA","EVPTS","EVPTS/G","EVPTS%"
"Connor McDavid",1997-01-13,"C","Erie Otters",20,14,13,27,1.35,55
"Michael Dal Colle",1996-06-20,"LW","Oshawa Generals",21,6,13,19,0.9,61
"Remi Elie",1995-04-16,"LW","Erie Otters",20,3,16,19,0.95,79
"Nick Ritchie",1995-12-05,"LW","Sault Ste. Marie Greyhounds",14,10,6,16,1.14,62
"Hunter Smith",1995-09-11,"RW","Oshawa Generals",21,6,8,14,0.67,78
"Cole Cassels",1995-05-04,"C","Oshawa Generals",21,4,9,13,0.62,42
"Alex DeBrincat",1997-12-18,"RW","Erie Otters",20,6,6,12,0.6,75
"Billy Jenkins",1994-09-08,"LW","Niagara IceDogs",11,7,4,11,1,100
"Dylan Strome",1997-03-07,"C","Erie Otters",20,4,7,11,0.55,50
"Jake Marchment",1995-05-20,"C","Erie Otters",19,7,4,11,0.58,79
"Tobias Lindberg",1995-07-22,"LW","Oshawa Generals",21,4,7,11,0.52,58
"Christian  Dvorak",1996-02-02,"C","London Knights",10,4,6,10,1,77
"Dakota Mermis",1994-01-05,"D","Oshawa Generals",21,1,9,10,0.48,67
"Jared McCann",1996-05-31,"C","Sault Ste. Marie Greyhounds",14,3,7,10,0.71,62
"Travis  Dermott",1996-12-22,"D","Erie Otters",20,4,6,10,0.5,59
"Bryan Moore",1994-05-25,"LW","Sault Ste. Marie Greyhounds",14,5,4,9,0.64,69
"Carter Verhaeghe",1995-08-14,"C","Niagara IceDogs",11,4,5,9,0.82,64
"Dante Salituro",1996-11-15,"C","Ottawa 67's",6,4,5,9,1.5,90
"Jordan Maletta",1995-04-30,"C","Niagara IceDogs",11,6,3,9,0.82,100
"Joseph Blandisi",1994-07-18,"C","Barrie Colts",9,5,4,9,1,64
"Josh Ho-Sang",1996-01-22,"RW","Niagara IceDogs",11,1,8,9,0.82,56
"Matt Rupert",1994-06-02,"LW","London Knights",10,4,5,9,0.9,82
"Michael Bunting",1995-09-17,"LW","Sault Ste. Marie Greyhounds",14,6,3,9,0.64,64
"Nicholas Baptiste",1995-08-04,"RW","Erie Otters",20,5,4,9,0.45,39
"Tyler  Ganly",1995-03-22,"D","Sault Ste. Marie Greyhounds",14,2,7,9,0.64,100
"Anthony Cirelli",1997-07-15,"C","Oshawa Generals",21,1,7,8,0.38,80
"Bradley  Latour",1995-09-13,"LW","Oshawa Generals",20,3,5,8,0.4,100
"Brenden Miller",1994-03-29,"D","North Bay Battalion",15,4,4,8,0.53,67
"Matt Mistele",1995-10-17,"LW","Oshawa Generals",21,7,1,8,0.38,50
"Mitchell Marner",1997-05-05,"RW","London Knights",7,4,4,8,1.14,50
"Nick Betz",1995-07-18,"RW","Erie Otters",16,6,2,8,0.5,89
"Sergey Tolchinsky",1995-02-03,"RW","Sault Ste. Marie Greyhounds",14,3,5,8,0.57,57
"Brett McKenzie",1997-03-12,"C","North Bay Battalion",15,0,7,7,0.47,100
"Gabe  Guertler",1995-05-03,"C","Sault Ste. Marie Greyhounds",14,3,4,7,0.5,78
"Kyle Maksimovich",1998-03-10,"LW","Erie Otters",20,3,4,7,0.35,88
"Mike Amadio",1996-05-13,"C","North Bay Battalion",15,3,4,7,0.47,47
"Ray Huether",1994-03-16,"C","North Bay Battalion",15,4,3,7,0.47,88
"Ryan MacInnis",1996-02-14,"C","Kitchener Rangers",6,3,4,7,1.17,88
"Travis Konecny",1997-03-11,"RW","Ottawa 67's",5,2,5,7,1.4,70
"Zach Bratina",1996-01-06,"LW","North Bay Battalion",15,2,5,7,0.47,88
"Aiden Jamieson",1996-03-23,"D","London Knights",10,1,5,6,0.6,100
"Anthony DiFruscia",1995-04-20,"LW","Niagara IceDogs",11,2,4,6,0.55,75
"Brendan  Perlini",1996-04-27,"LW","Niagara IceDogs",11,2,4,6,0.55,50
"Brendan Bell",1994-03-17,"LW","Ottawa 67's",6,1,5,6,1,75
"Darren Raddysh",1996-02-28,"D","Erie Otters",20,1,5,6,0.3,67
"Jeremiah Addison",1996-10-21,"RW","Ottawa 67's",6,4,2,6,1,60
