"Name","BD","Pos","Team","GP","EVG","EVA","EVPTS","EVPTS/G","EVPTS%"
"Alex Friesen",1991-01-30,"C","Niagara IceDogs",20,5,10,15,0.75,68
"David Pacan",1991-03-31,"RW","Niagara IceDogs",20,6,8,14,0.7,70
"Freddie Hamilton",1992-01-01,"RW","Niagara IceDogs",20,5,9,14,0.7,58
"Dougie Hamilton",1993-06-17,"D","Niagara IceDogs",20,3,10,13,0.65,57
"Austin Watson",1992-01-13,"C","London Knights",19,7,5,12,0.63,71
"Brandon Saad",1992-10-27,"LW","Saginaw Spirit",12,5,7,12,1,71
"Ryan Murphy",1993-03-31,"D","Kitchener Rangers",16,1,11,12,0.75,55
"Ryan Strome",1993-07-11,"C","Niagara IceDogs",20,3,9,12,0.6,52
"Tobias Rieder",1993-01-10,"RW","Kitchener Rangers",16,5,7,12,0.75,44
"Vladislav Namestnikov",1992-11-22,"C","London Knights",19,3,9,12,0.63,67
"Michael Catenacci",1991-02-12,"C","Kitchener Rangers",16,4,7,11,0.69,42
"Olli Maatta",1994-08-22,"D","London Knights",19,4,7,11,0.58,48
"Ryan Rupert",1994-06-02,"C","London Knights",19,6,5,11,0.58,73
"Seth Griffith",1993-01-04,"RW","London Knights",19,4,7,11,0.58,48
"Tyler Toffoli",1992-04-24,"RW","Ottawa 67's",18,8,3,11,0.61,61
"Andrew Agozzino",1991-01-03,"LW","Niagara IceDogs",20,7,3,10,0.5,56
"Cody Ceci",1993-12-21,"D","Ottawa 67's",18,0,10,10,0.56,67
"Shane Prince",1992-11-16,"LW","Ottawa 67's",18,6,4,10,0.56,62
"Tom Wilson",1994-03-29,"RW","Plymouth Whalers",13,5,5,10,0.77,77
"Ben Thomson",1993-01-16,"LW","Kitchener Rangers",16,4,5,9,0.56,90
"Matt Rupert",1994-06-02,"LW","London Knights",19,4,5,9,0.47,100
"Rickard Rakell",1993-05-05,"C","Plymouth Whalers",13,1,8,9,0.69,75
"Cody Sol",1991-02-11,"D","Kitchener Rangers",16,3,5,8,0.5,67
"Ivan Telegin",1992-02-28,"C","Barrie Colts",13,2,6,8,0.62,57
"Jarred Tinordi",1992-02-20,"D","London Knights",19,3,5,8,0.42,100
"Mark Scheifele",1993-03-15,"C","Barrie Colts",13,3,5,8,0.62,67
"Mitchell Heard",1992-03-12,"C","Plymouth Whalers",13,2,6,8,0.62,73
"Tom Kuhnhackl",1992-01-21,"LW","Niagara IceDogs",20,4,4,8,0.4,73
"Boone Jenner",1993-06-15,"C","Oshawa Generals",6,2,5,7,1.17,64
"Brad Walch",1991-01-24,"D","Saginaw Spirit",12,1,6,7,0.58,70
"Brett Ritchie",1993-07-01,"RW","Niagara IceDogs",20,0,7,7,0.35,64
"Garret Ross",1992-05-26,"LW","Saginaw Spirit",12,4,3,7,0.58,70
"Jesse Graham",1994-05-13,"D","Niagara IceDogs",20,1,6,7,0.35,70
"Josh Shalla",1991-09-25,"LW","Saginaw Spirit",12,3,4,7,0.58,50
"Marc Zanetti",1991-05-20,"D","Ottawa 67's",10,1,6,7,0.7,88
"Max Domi",1995-03-02,"C","London Knights",19,4,3,7,0.37,78
"Mitchell Theoret",1993-06-08,"LW","Niagara IceDogs",17,4,3,7,0.41,100
"Sean Monahan",1994-10-12,"C","Ottawa 67's",18,4,3,7,0.39,47
"Tyler Ferry",1992-12-09,"D","London Knights",19,2,5,7,0.37,100
"Tyler Graovac",1993-04-27,"C","Ottawa 67's",18,3,4,7,0.39,70
"Zach Lorentz",1993-01-19,"LW","Kitchener Rangers",16,2,5,7,0.44,100
"Alex Aleardi",1992-07-30,"RW","Plymouth Whalers",13,4,2,6,0.46,60
"Brett Gustavsen",1994-03-13,"LW","Ottawa 67's",17,3,3,6,0.35,100
"Brett Mackie",1991-05-25,"LW","Brampton Battalion",8,0,6,6,0.75,100
"Chris Tierney",1994-07-01,"C","London Knights",19,4,2,6,0.32,86
"Colin Behenna",1991-06-06,"C","Barrie Colts",11,1,5,6,0.55,75
"J.T. Miller",1993-03-14,"LW","Plymouth Whalers",13,1,5,6,0.46,60
"Jared Knight",1992-01-16,"RW","London Knights",15,3,3,6,0.4,75
"Mike Cazzola",1991-03-08,"C","Ottawa 67's",18,1,5,6,0.33,60
"Myles Doan",1992-05-18,"C","Niagara IceDogs",16,3,3,6,0.38,100
"Scott Harrington",1993-03-10,"D","London Knights",19,1,5,6,0.32,86
"Steven Janes",1993-02-24,"RW","Ottawa 67's",18,3,3,6,0.33,100
"Tyler Randell",1991-06-15,"RW","Kitchener Rangers",6,5,1,6,1,75
"Austin Levi",1992-02-16,"D","Plymouth Whalers",13,2,3,5,0.38,50
"Brock Beukeboom",1992-04-01,"D","Niagara IceDogs",19,2,3,5,0.26,100
"Carlos Amestoy",1992-03-24,"C","Saginaw Spirit",12,2,3,5,0.42,83
"Dalton Young",1993-07-14,"D","Saginaw Spirit",11,2,3,5,0.45,62
"Francis Menard",1992-03-02,"C","Guelph Storm",6,3,2,5,0.83,83
"Josh Anderson",1994-05-07,"RW","London Knights",19,2,3,5,0.26,100
"Josh MacDonald",1994-03-26,"LW","Barrie Colts",13,2,3,5,0.38,83
"Lucas Lessio",1993-01-23,"LW","Oshawa Generals",6,3,2,5,0.83,100
"Ludvig Rensfeldt",1992-01-29,"LW","Sarnia Sting",6,2,3,5,0.83,100
"Stefan Noesen",1993-02-12,"LW","Plymouth Whalers",7,3,2,5,0.71,33
"Aaron Ekblad",1996-02-07,"D","Barrie Colts",13,2,2,4,0.31,80
"Andreas Athanasiou",1994-08-06,"LW","London Knights",11,0,4,4,0.36,80
"Anthony Camara",1993-09-04,"LW","Barrie Colts",13,1,3,4,0.31,80
"Bo Horvat",1995-04-05,"LW","London Knights",18,1,3,4,0.22,100
"Brandon Archibald",1992-03-31,"D","Saginaw Spirit",12,2,2,4,0.33,57
"Charles Sarault",1992-02-20,"C","Sarnia Sting",6,0,4,4,0.67,100
"Dalton Smith",1992-06-30,"LW","Ottawa 67's",18,1,3,4,0.22,50
"Dario Trutmann",1992-09-17,"D","Plymouth Whalers",13,1,3,4,0.31,50
"Domenic Alberga",1992-07-28,"C","Sarnia Sting",6,0,4,4,0.67,100
"Eric Ming",1993-03-31,"RW","Kitchener Rangers",16,3,1,4,0.25,100
"Greg McKegg",1992-06-17,"C","London Knights",15,2,2,4,0.27,36
"Jake Cardwell",1992-05-24,"D","Ottawa 67's",18,2,2,4,0.22,40
"Jason Dickinson",1995-07-04,"LW","Guelph Storm",6,2,2,4,0.67,80
"Joseph Cramarossa",1992-10-26,"C","Belleville Bulls",6,2,2,4,0.67,100
"Justin Kea",1994-02-07,"C","Saginaw Spirit",12,0,4,4,0.33,80
"Kyle Pereira",1991-02-02,"D","Guelph Storm",6,1,3,4,0.67,100
"Matt Mistele",1995-10-17,"LW","Plymouth Whalers",12,2,2,4,0.33,80
"Michael Fine",1991-05-10,"RW","Saginaw Spirit",12,3,1,4,0.33,36
"Mitchell Porowski",1991-12-21,"LW","Brampton Battalion",8,0,4,4,0.5,100
"Nicklas Jensen",1993-03-06,"RW","Oshawa Generals",6,1,3,4,0.67,80
"Riley Brace",1992-03-07,"LW","Mississauga St. Michaels Majors",6,1,3,4,0.67,57
"Sam Carrick",1992-02-04,"C","Brampton Battalion",8,2,2,4,0.5,50
"Steven Shipley",1992-04-22,"C","Niagara IceDogs",20,3,1,4,0.2,44
"Steven Strong",1993-02-16,"D","Saginaw Spirit",11,1,3,4,0.36,80
"Vincent Trocheck",1993-07-11,"C","Saginaw Spirit",12,2,2,4,0.33,36
"Adam Payerl",1991-03-04,"C","Belleville Bulls",6,1,2,3,0.5,100
"Andy Andreoff",1991-05-17,"LW","Oshawa Generals",6,1,2,3,0.5,75
"Ben Fanelli",1993-03-09,"D","Kitchener Rangers",16,0,3,3,0.19,75
"Cameron Wind",1992-01-25,"D","Brampton Battalion",8,1,2,3,0.38,60
"Carter Verhaeghe",1995-08-14,"C","Niagara IceDogs",19,1,2,3,0.16,100
"Daniel Erlich",1991-03-13,"LW","Barrie Colts",13,3,0,3,0.23,43
"Garrett Hooey",1994-06-02,"LW","Belleville Bulls",6,1,2,3,0.5,100
"Gemel Smith",1994-04-16,"C","Owen Sound Attack",5,1,2,3,0.6,100
"Gregg Sutch",1992-02-09,"RW","Barrie Colts",10,2,1,3,0.3,100
